Intervention, Unit Cost ,Cost Unit
dummy,0,dummy
ART Adults (1st line 1st year),5166.481482,per patient year
ART Adults (1st line followup),3145.619807,per patient year
ART Adults (2nd line followup),3991.153129,per patient year
ART Paeds Neonates,1844.241322,per patient year
ART Paeds Kids <1,4942.988454,per patient year
ART Paeds Kids 1-2 (1st year),6636.970271,per patient year
ART Paeds Kids 1-2 (followup),4677.521973,per patient year
ART Paeds Kids 3-5 (1st year),7309.842086,per patient year
ART Paeds Kids 3-5 (followup),5350.393788,per patient year
ART Paeds Kids 6-9 (1st year),6919.214728,per patient year
ART Paeds Kids 6-9 (followup),4959.76643,per patient year
ART Paeds Kids 10-14 (1st year),5037.545988,per patient year
ART Paeds Kids 10-14 (followup),3078.097691,per patient year
Additional CD4 counts required,87.8782824,per test
Incremental POCVL costs across all populations,147.82,per patient year
Medical male circumcision,1546.324769,per circumcision
Early infant male circumcision,773.16,per circumcision
Condom distribution in clinics,0.97,per condom
Condom distribution in non-traditional outlets (hotels; shops; malls),1.13,per condom distributed
PrEP women,1031.339637,per client initiated
PrEP FSW,1050.487754,per client initiated
PrEP men,1026.840726,per client initiated
PrEP MSM,1318.815304,per client initiated
CABLA FSW (12m),1665.471024,per client initiated
CABLA NonFSW (12m),1665.471024,per client initiated
CABLA women (12m),1665.471024,per client initiated
CABLA men (12m),1572.769509,per client initiated
CABLA MSM (12m),1550.099754,per client initiated
PMTCT (mother not on any ART),251.0430661,per mother-baby pair
PMTCT (mother not on lifelong ART),1792.027184,per mother-baby pair
Testing at birth,585.2977431,per test
Testing at 10 weeks,550.9636088,per test
Testing at 6 months,550.9636088,per test
General HCT (negative),75.87890932,per test
General HCT (positive),110.6996646,per test
Adolescent testing (negative),149.2140744,per test
Adolescent testing (positive),158.6769934,per test
ANC testing (negative),65.7971723,per test
ANC testing (positive),100.2367298,per test
Partner notification (negative),69.63844485,per test
Partner notification (positive),111.0644922,per test
PITC (negative),75.88,per test
PITC (positive),110.7,per test
Mobile testing (negative),107.3298721,per test
Mobile testing (positive),124.34,per test
Home based testing (negative),107.45,per test
Home based testing (positive),116.71,per test
Rapid HIV tests in U15 (negative),75.88,per test
Rapid HIV tests in U15 (positive),110.7,per test
ST distributed (fixed point),150.46,per test distributed
ST distributed (taxi),135.08,per test distributed
ST distributed (ANC),291.75,per test distributed
